Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance
SL-B B-10 PS-10 PR-10 SV-100 GI-0.4,3,5 1 4 3 2 12 6 7 8 11 9 10 ,1810,3 10 11 2 12 5 6 7 8 1 4 9 ,1652
SL-B B-50 PS-50 PR-50 SV-100 GI-0.3,3,10 3 5 12 11 1 6 7 2 9 8 4 ,1744,3 10 11 2 12 5 7 6 8 1 4 9 ,1652
SL-B B-10 PS-20 PR-10 SV-50 GI-0.4,3,6 7 2 10 11 12 5 3 8 1 9 4 ,1754,3 10 11 2 12 5 7 6 8 1 4 9 ,1652
SL-B B-50 PS-50 PR-50 SV-50 GI-0.5,1,9 10 11 2 7 8 6 5 4 12 1 3 ,1780,3 10 11 2 12 5 6 7 8 1 4 9 ,1652
SL-UT PS-50 PR-50 SV-100 GI-0.3,3,3 12 4 10 6 7 11 1 2 5 9 8 ,1792,3 10 11 2 12 5 6 7 8 1 4 9 ,1652
SL-UTC PS-50 PR-25 SV-100 GI-0.5,3,5 1 7 4 11 12 8 10 9 6 3 2 ,1802,3 10 11 2 12 5 7 6 8 1 4 9 ,1652
SL-UTC PS-50 PR-50 SV-50 GI-0.4,3,3 11 6 10 5 1 7 2 8 12 9 4 ,1752,3 10 11 2 12 5 7 6 8 1 4 9 ,1652
SL-B B-25 PS-50 PR-25 SV-50 GI-0.3,2,3 1 12 6 8 2 10 5 11 7 4 9 ,1802,8 10 2 11 12 5 7 6 3 1 4 9 ,1654
SL-B B-50 PS-50 PR-50 SV-50 GI-0.5,1,12 2 3 10 11 7 1 5 6 8 9 4 ,1786,8 10 2 11 12 5 7 6 3 1 4 9 ,1654
SL-UTC PS-50 PR-16 SV-50 GI-0.4,3,3 6 10 11 1 7 12 5 8 2 4 9 ,1762,8 10 2 11 12 5 7 6 3 1 4 9 ,1654
SL-B B-20 PS-20 PR-20 SV-100 GI-0.3,1,10 11 2 3 5 12 1 7 8 6 9 4 ,1756,3 10 5 2 12 11 7 1 8 6 4 9 ,1656
SL-B B-50 PS-50 PR-50 SV-100 GI-0.4,2,3 6 2 7 5 8 12 1 10 4 11 9 ,1780,3 10 5 2 12 11 7 1 8 6 4 9 ,1656
SL-UT PS-50 PR-50 SV-50 GI-0.5,2,8 6 10 3 5 7 4 1 2 12 11 9 ,1788,3 10 5 2 12 11 7 1 8 6 4 9 ,1656
SL-UTC PS-50 PR-50 SV-100 GI-0.3,1,2 7 3 6 11 4 10 5 8 12 1 9 ,1788,3 10 5 2 12 11 7 1 8 6 4 9 ,1656
SL-B B-6 PS-20 PR-6 SV-50 GI-0.3,2,2 6 10 7 12 3 1 5 11 8 9 4 ,1758,3 10 12 2 11 5 6 7 8 1 4 9 ,1660
SL-B B-10 PS-50 PR-16 SV-50 GI-0.5,1,10 2 12 3 11 5 7 6 1 8 9 4 ,1778,3 10 12 2 11 5 7 6 8 1 4 9 ,1660
SL-UT PS-20 PR-10 SV-50 GI-0.3,1,2 7 12 6 3 1 11 5 8 10 9 4 ,1770,3 10 5 2 12 11 6 1 8 7 4 9 ,1660
SL-UT PS-50 PR-16 SV-100 GI-0.3,2,1 12 5 2 6 7 11 10 4 9 8 3 ,1784,3 10 5 2 12 11 6 1 8 7 4 9 ,1660
SL-UTC PS-50 PR-16 SV-100 GI-0.5,2,11 9 2 12 6 10 7 5 4 1 8 3 ,1804,3 10 5 2 12 11 6 1 8 7 4 9 ,1660
SL-UTC PS-50 PR-25 SV-100 GI-0.4,3,8 6 4 1 9 7 5 10 2 12 11 3 ,1792,3 10 11 2 12 7 5 1 8 6 4 9 ,1660
SL-B B-16 PS-50 PR-25 SV-100 GI-0.3,1,9 11 6 10 12 7 5 8 4 1 2 3 ,1756,8 10 2 11 12 6 5 1 3 7 4 9 ,1662
SL-B B-25 PS-50 PR-25 SV-50 GI-0.3,1,8 5 2 11 1 12 3 6 10 7 4 9 ,1778,8 10 5 11 12 2 6 1 3 7 4 9 ,1662
SL-UT PS-50 PR-25 SV-50 GI-0.5,1,4 1 2 9 5 10 12 11 7 6 3 8 ,1774,8 10 12 11 2 5 7 6 3 1 4 9 ,1662
SL-UTC PS-50 PR-16 SV-100 GI-0.5,1,2 8 7 6 10 1 5 3 11 12 4 9 ,1796,8 10 12 11 2 5 7 6 3 1 4 9 ,1662
SL-B B-10 PS-20 PR-10 SV-10 GI-0.5,3,4 3 9 2 6 11 12 7 10 5 8 1 ,1792,3 10 11 2 6 7 12 5 8 1 4 9 ,1666
SL-B B-13 PS-20 PR-20 SV-50 GI-0.5,1,9 4 5 3 7 2 6 8 10 12 11 1 ,1794,9 4 1 7 6 11 12 2 8 5 10 3 ,1666
SL-B B-10 PS-50 PR-16 SV-100 GI-0.3,3,8 1 9 6 7 11 3 5 4 2 10 12 ,1758,3 10 11 2 6 7 12 5 8 1 4 9 ,1666
SL-B B-25 PS-50 PR-25 SV-10 GI-0.4,3,8 7 2 9 10 3 12 11 6 4 5 1 ,1790,3 10 12 2 5 11 7 1 8 6 4 9 ,1666
SL-UT PS-20 PR-6 SV-100 GI-0.3,2,5 8 10 1 12 4 2 6 3 7 11 9 ,1760,9 4 1 6 7 11 2 5 8 12 10 3 ,1666
SL-UT PS-50 PR-16 SV-100 GI-0.5,3,1 5 4 3 8 7 11 6 9 2 12 10 ,1808,9 4 1 6 7 11 12 2 8 5 10 3 ,1666
SL-UT PS-50 PR-25 SV-100 GI-0.3,1,3 6 5 2 10 11 1 8 12 7 9 4 ,1766,3 10 11 2 6 7 12 5 8 1 4 9 ,1666
SL-UTC PS-50 PR-50 SV-50 GI-0.3,2,9 8 12 4 11 5 10 6 1 2 7 3 ,1794,3 10 12 2 5 11 7 1 8 6 4 9 ,1666
SL-B B-50 PS-50 PR-50 SV-100 GI-0.5,1,2 3 10 12 11 5 6 1 7 4 8 9 ,1774,3 10 12 2 11 6 5 1 8 7 4 9 ,1668
SL-B B-25 PS-50 PR-25 SV-100 GI-0.5,1,4 1 7 12 9 6 2 5 11 10 3 8 ,1784,8 10 2 11 6 7 12 5 3 1 4 9 ,1668
SL-B B-33 PS-50 PR-50 SV-50 GI-0.4,2,4 8 9 6 7 12 10 2 1 5 3 11 ,1780,3 10 5 2 12 11 6 7 8 1 4 9 ,1668
SL-B B-50 PS-50 PR-50 SV-100 GI-0.4,1,8 2 1 6 11 7 5 3 12 10 9 4 ,1788,3 10 12 2 11 7 5 1 8 6 4 9 ,1668
SL-UT PS-20 PR-6 SV-50 GI-0.5,3,3 5 8 1 10 7 12 11 2 4 6 9 ,1776,3 10 11 5 12 2 7 1 8 6 4 9 ,1668
SL-UT PS-50 PR-25 SV-50 GI-0.3,1,10 8 3 2 6 9 11 12 7 5 4 1 ,1798,3 10 5 2 12 11 6 7 8 1 4 9 ,1668
SL-UT PS-50 PR-25 SV-50 GI-0.4,3,10 2 6 11 8 7 12 5 3 1 4 9 ,1728,3 10 5 2 12 11 7 6 8 1 4 9 ,1668
SL-UTC PS-20 PR-20 SV-100 GI-0.5,2,8 5 9 1 10 11 7 2 4 3 6 12 ,1814,3 10 11 5 12 2 6 1 8 7 4 9 ,1668
SL-UTC PS-50 PR-16 SV-50 GI-0.3,2,11 7 2 12 8 6 5 3 10 1 4 9 ,1780,8 10 2 11 6 5 12 7 3 1 4 9 ,1668
SL-UTC PS-50 PR-50 SV-50 GI-0.4,1,8 10 6 2 4 7 12 3 11 5 9 1 ,1804,3 10 5 2 12 11 6 7 8 1 4 9 ,1668
SL-B B-13 PS-20 PR-20 SV-100 GI-0.5,3,9 3 2 4 10 12 11 7 6 1 5 8 ,1816,8 10 5 2 12 11 7 1 3 6 4 9 ,1670
SL-B B-16 PS-50 PR-25 SV-50 GI-0.4,2,8 2 3 7 11 1 10 12 6 5 4 9 ,1746,3 10 11 2 5 12 6 1 8 7 4 9 ,1670
SL-B B-2 PS-50 PR-25 SV-100 GI-0.5,3,3 4 12 9 5 11 1 2 10 7 6 8 ,1750,3 10 5 2 12 6 7 1 8 11 4 9 ,1670
SL-B B-6 PS-20 PR-10 SV-100 GI-0.3,2,2 12 11 4 6 7 5 10 8 9 1 3 ,1842,9 4 1 6 11 7 5 10 8 12 2 3 ,1670
SL-B B-16 PS-50 PR-25 SV-50 GI-0.3,2,9 7 6 5 2 4 11 12 1 8 3 10 ,1794,9 4 1 6 11 7 5 10 8 12 2 3 ,1670
SL-B B-16 PS-50 PR-25 SV-50 GI-0.4,3,3 12 6 2 10 9 5 1 7 11 4 8 ,1782,8 11 12 10 2 5 7 6 3 1 4 9 ,1670
SL-B B-33 PS-50 PR-50 SV-10 GI-0.3,1,4 9 6 10 12 5 2 7 3 11 8 1 ,1758,3 10 5 2 12 6 7 1 8 11 4 9 ,1670
SL-UT PS-20 PR-6 SV-50 GI-0.4,1,9 4 1 10 5 12 11 2 7 6 3 8 ,1760,8 10 2 5 12 11 7 1 3 6 4 9 ,1670
SL-UT PS-50 PR-16 SV-50 GI-0.4,1,11 3 10 8 1 5 6 2 12 7 4 9 ,1790,3 10 12 2 5 11 6 1 8 7 4 9 ,1670
SL-UT PS-50 PR-16 SV-100 GI-0.4,1,8 4 1 5 11 7 10 2 12 6 9 3 ,1810,8 10 2 5 12 11 7 1 3 6 4 9 ,1670
SL-UT PS-50 PR-16 SV-100 GI-0.4,3,11 10 12 5 1 4 6 2 8 7 3 9 ,1788,9 4 1 6 7 2 12 11 8 5 10 3 ,1670
SL-UT PS-50 PR-25 SV-50 GI-0.4,2,4 12 2 6 10 7 11 5 3 8 9 1 ,1794,9 4 1 6 7 2 12 11 8 5 10 3 ,1670
SL-UT PS-50 PR-50 SV-50 GI-0.5,1,4 9 7 8 1 2 12 5 11 6 3 10 ,1780,8 10 2 11 12 5 7 1 3 6 4 9 ,1670
SL-UT PS-50 PR-50 SV-100 GI-0.4,1,9 1 8 5 11 3 10 12 4 2 6 7 ,1796,3 10 5 2 12 6 7 1 8 11 4 9 ,1670
SL-UTC PS-50 PR-25 SV-100 GI-0.3,1,3 12 9 10 2 5 7 1 11 6 8 4 ,1800,3 10 5 2 12 6 7 1 8 11 4 9 ,1670
SL-B B-16 PS-50 PR-25 SV-100 GI-0.4,3,9 4 6 12 7 11 2 3 5 10 1 8 ,1770,3 10 12 2 7 6 5 1 8 11 4 9 ,1672
SL-B B-6 PS-20 PR-10 SV-100 GI-0.5,3,2 10 6 9 7 5 12 3 11 4 1 8 ,1776,9 4 1 6 7 5 12 11 8 2 10 3 ,1672
SL-B B-20 PS-20 PR-20 SV-50 GI-0.3,2,2 6 4 12 10 5 11 8 3 7 1 9 ,1804,8 11 12 10 2 5 6 7 3 1 9 4 ,1672
SL-UT PS-20 PR-6 SV-50 GI-0.5,2,10 2 1 8 12 11 7 5 3 6 9 4 ,1788,3 10 12 2 6 5 7 8 11 1 4 9 ,1672
SL-UT PS-20 PR-10 SV-100 GI-0.3,1,4 9 8 11 10 7 5 1 6 12 2 3 ,1770,9 4 1 11 6 7 5 10 8 12 2 3 ,1672
SL-UT PS-50 PR-50 SV-10 GI-0.5,3,4 1 11 9 7 6 5 10 8 3 12 2 ,1742,3 10 11 12 2 6 5 1 8 7 4 9 ,1672
SL-B B-6 PS-10 PR-10 SV-50 GI-0.5,1,9 2 3 4 1 5 6 11 7 12 10 8 ,1798,4 9 1 6 11 7 12 5 8 2 10 3 ,1674
SL-B B-13 PS-20 PR-20 SV-100 GI-0.5,1,7 9 1 4 3 11 10 5 8 6 12 2 ,1832,8 3 11 2 12 5 6 7 10 1 4 9 ,1674
SL-B B-25 PS-50 PR-25 SV-10 GI-0.5,1,8 3 6 1 12 7 11 2 5 10 9 4 ,1782,3 10 12 2 6 5 11 7 8 1 4 9 ,1674
SL-B B-33 PS-50 PR-50 SV-50 GI-0.3,1,4 8 7 10 6 11 1 12 9 2 5 3 ,1762,8 10 12 3 2 5 7 6 11 1 4 9 ,1674
SL-B B-50 PS-50 PR-50 SV-50 GI-0.3,3,3 6 8 10 5 2 12 11 1 7 9 4 ,1760,3 2 12 6 11 5 7 8 10 1 4 9 ,1674
SL-B B-2 PS-50 PR-50 SV-100 GI-0.4,1,2 3 10 11 5 12 6 4 8 7 9 1 ,1748,3 10 11 2 12 5 6 4 8 7 1 9 ,1674
SL-B B-2 PS-50 PR-50 SV-100 GI-0.5,3,11 1 5 12 4 6 7 3 9 2 10 8 ,1774,8 10 2 11 12 5 6 1 3 7 4 9 ,1674
SL-UT PS-50 PR-25 SV-50 GI-0.3,3,8 1 11 4 7 12 9 6 5 2 3 10 ,1784,8 3 11 2 12 5 7 6 10 1 4 9 ,1674
SL-UTC PS-50 PR-25 SV-10 GI-0.3,1,8 1 9 7 4 2 5 12 6 3 11 10 ,1792,3 10 2 11 12 7 5 1 8 6 9 4 ,1674
SL-UTC PS-50 PR-50 SV-50 GI-0.4,2,3 2 5 12 8 10 11 7 6 1 4 9 ,1766,3 10 12 2 7 5 11 6 8 1 4 9 ,1674
