Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-B CR-OX PR-16;1;4 11 5 22 7 30 14 8 15 9 26 12 21 25 24 16 6 27 1 3 29 10 17 13 20 2 18 23 19 28 ;2.09501e+06;16 18 4 24 30 25 11 29 7 23 12 15 2 27 10 20 1 3 26 28 5 6 8 17 19 13 14 21 22 9 ;2.02236e+06;341
SL-B CR-OX PR-16;2;29 25 7 2 9 21 1 30 20 10 18 13 28 23 6 15 14 19 24 4 16 17 26 12 8 5 11 3 27 22 ;2.12571e+06;14 10 9 1 23 19 25 24 2 26 16 5 28 18 13 30 4 20 27 3 6 29 12 8 21 7 15 11 17 22 ;2.04274e+06;274
SL-B CR-OX PR-16;3;30 13 29 17 23 15 2 20 5 18 7 24 3 26 1 11 14 8 22 27 9 6 25 4 16 21 10 19 28 12 ;2.12131e+06;16 24 4 1 26 22 2 21 12 27 6 5 29 23 14 18 10 15 28 20 9 19 7 13 17 25 30 11 8 3 ;1.99398e+06;391
SL-B CR-OX PR-25;1;28 10 19 15 9 6 13 24 16 29 2 17 7 23 14 5 1 21 11 27 12 30 20 18 22 26 8 3 25 4 ;2.11854e+06;13 20 21 8 23 18 5 10 9 16 24 29 12 4 19 27 6 22 14 7 17 3 28 26 1 2 15 30 11 25 ;2.06895e+06;160
SL-B CR-OX PR-25;2;24 8 14 15 30 6 5 23 4 18 10 2 28 26 13 22 17 3 12 21 20 29 25 1 19 11 9 27 16 7 ;2.11104e+06;11 6 13 22 16 26 28 8 3 14 1 30 18 10 4 5 21 19 29 12 24 17 20 9 23 15 7 2 27 25 ;2.06247e+06;238
SL-B CR-OX PR-25;3;24 19 29 28 30 20 14 2 7 18 11 16 8 21 25 17 22 9 23 6 27 26 5 15 10 4 1 3 12 13 ;2.12685e+06;1 18 25 24 7 4 29 21 19 23 12 15 3 8 16 9 11 14 26 5 13 30 20 2 17 10 6 27 22 28 ;2.0448e+06;428
SL-B CR-OX PR-50;1;1 21 13 5 8 24 7 20 3 2 22 12 23 16 18 25 6 28 10 19 26 29 9 11 17 30 15 4 14 27 ;2.1214e+06;15 19 18 27 16 9 28 13 7 14 1 20 11 6 5 24 17 8 3 22 12 10 21 23 30 2 25 26 4 29 ;2.01806e+06;310
SL-B CR-OX PR-50;2;19 1 23 25 24 2 26 30 8 13 3 11 22 28 4 18 6 7 21 29 5 15 10 17 14 9 12 27 16 20 ;2.12796e+06;6 21 24 5 28 7 19 15 17 16 26 4 18 1 27 22 10 13 11 25 20 12 9 23 3 30 8 29 14 2 ;2.03145e+06;323
SL-B CR-OX PR-50;3;9 2 19 20 7 4 13 12 30 17 18 26 29 23 11 14 22 10 8 15 28 27 25 16 3 1 5 24 21 6 ;2.14894e+06;12 14 16 28 27 4 23 29 6 10 15 9 18 19 8 24 7 3 13 25 5 1 17 26 2 11 30 21 22 20 ;2.04219e+06;371
SL-B CR-PMX PR-16;1;25 27 5 8 14 7 24 6 19 15 30 3 22 29 13 4 16 21 20 26 10 23 9 17 11 1 2 12 28 18 ;2.13422e+06;15 8 29 22 14 6 16 7 25 27 24 17 28 21 4 5 9 11 10 1 18 19 13 20 26 3 12 2 30 23 ;2.01968e+06;170
SL-B CR-PMX PR-16;2;8 10 16 4 6 7 23 25 28 20 9 15 2 13 1 21 3 12 17 11 5 14 29 26 18 27 30 22 19 24 ;2.05669e+06;8 10 16 4 6 7 23 25 28 20 9 15 2 13 1 21 3 12 17 11 5 14 29 26 18 27 30 22 19 24 ;2.05669e+06;100
SL-B CR-PMX PR-16;3;11 2 15 7 26 24 22 18 3 16 23 27 25 30 29 6 8 21 5 13 10 12 9 4 17 14 19 1 20 28 ;2.14658e+06;30 28 25 18 21 7 24 29 5 27 26 12 8 9 10 22 20 1 16 17 19 23 2 11 6 3 15 13 14 4 ;1.98435e+06;175
SL-B CR-PMX PR-25;1;2 4 30 29 5 1 13 19 6 12 16 20 15 7 18 26 3 8 14 27 10 22 11 23 28 25 9 21 24 17 ;2.12786e+06;7 18 26 5 22 28 14 6 25 9 4 20 11 13 8 24 10 19 1 27 16 29 17 21 3 2 23 15 30 12 ;2.00033e+06;178
SL-B CR-PMX PR-25;2;17 11 24 4 16 25 1 3 13 26 2 9 23 8 14 19 29 21 15 10 28 18 12 20 6 27 5 7 30 22 ;2.09842e+06;13 28 29 22 23 5 16 26 25 8 1 9 6 24 30 27 19 17 10 2 14 7 3 12 15 11 18 20 4 21 ;2.02888e+06;163
SL-B CR-PMX PR-25;3;19 20 16 7 9 12 23 11 13 10 25 29 14 18 1 22 28 4 8 30 21 6 2 24 5 3 15 26 17 27 ;2.14256e+06;3 18 27 1 25 16 6 30 7 5 10 22 12 8 21 11 26 15 29 17 20 9 14 19 24 4 28 23 13 2 ;2.02687e+06;161
SL-B CR-PMX PR-50;1;25 11 14 9 22 7 24 2 20 29 19 23 12 10 6 3 15 5 1 21 16 13 17 28 4 30 27 18 26 8 ;2.13e+06;20 8 3 4 25 19 11 17 27 24 7 23 12 10 9 30 13 15 1 21 16 28 26 2 18 29 22 14 6 5 ;2.0202e+06;172
SL-B CR-PMX PR-50;2;30 29 3 4 28 22 5 2 10 7 20 19 14 12 26 9 17 18 27 23 21 1 15 8 24 11 13 6 16 25 ;2.10974e+06;17 16 7 12 5 25 11 20 4 14 21 26 2 22 10 9 1 8 6 29 27 15 23 19 3 28 30 24 18 13 ;1.98424e+06;192
SL-B CR-PMX PR-50;3;15 1 28 21 25 4 5 20 18 12 3 16 19 29 9 10 30 23 7 27 2 24 26 13 17 14 8 11 6 22 ;2.10681e+06;1 10 12 4 5 2 29 9 7 17 28 25 16 26 18 24 8 21 3 19 11 23 22 15 20 6 30 27 14 13 ;1.96536e+06;232
SL-UT CR-OX PR-16;1;8 12 19 1 6 11 16 10 23 13 18 4 17 7 22 21 3 25 27 29 28 20 24 2 14 5 15 26 30 9 ;2.13351e+06;14 17 2 23 19 8 5 9 10 1 26 13 25 3 20 30 16 18 11 29 28 21 6 7 24 22 4 12 27 15 ;2.04618e+06;145
SL-UT CR-OX PR-16;2;30 2 5 19 20 23 26 7 12 24 29 6 4 9 11 22 27 10 21 13 8 17 14 25 1 3 15 28 18 16 ;2.12849e+06;28 29 20 26 6 12 4 11 22 9 27 10 21 3 19 30 23 13 1 18 8 17 14 25 16 5 2 15 7 24 ;2.02773e+06;195
SL-UT CR-OX PR-16;3;19 4 30 17 20 15 13 22 25 7 10 3 9 6 12 29 28 8 24 21 14 27 5 11 16 26 18 2 23 1 ;2.12906e+06;19 28 11 22 21 25 16 4 26 5 17 13 23 10 24 14 20 1 30 3 15 27 2 6 29 12 18 7 8 9 ;2.04788e+06;144
SL-UT CR-OX PR-25;1;19 1 27 9 25 17 8 3 13 15 29 12 28 23 24 2 22 16 11 6 21 4 14 5 10 20 18 7 26 30 ;2.11294e+06;17 24 23 9 25 10 22 4 28 7 15 8 2 27 11 19 3 18 14 6 21 5 29 26 1 16 30 20 13 12 ;2.06062e+06;74
SL-UT CR-OX PR-25;2;3 13 1 16 4 6 21 17 19 15 9 11 20 26 27 7 24 14 18 25 8 30 10 22 2 28 5 23 29 12 ;2.12163e+06;12 28 1 13 24 11 21 15 10 17 14 9 23 25 20 4 29 27 3 7 18 5 19 26 6 8 30 16 2 22 ;2.03748e+06;44
SL-UT CR-OX PR-25;3;13 22 3 5 14 4 9 11 12 15 21 7 30 28 23 8 16 24 18 2 19 6 17 27 1 10 29 26 25 20 ;2.12187e+06;17 24 6 4 2 26 19 29 14 9 28 23 10 1 8 18 27 21 3 7 16 13 12 30 5 25 15 22 20 11 ;2.01987e+06;40
SL-UT CR-OX PR-50;1;24 8 25 29 27 28 20 10 9 15 6 19 4 1 17 26 3 22 7 30 23 12 16 14 11 21 5 18 13 2 ;2.12342e+06;7 26 12 29 28 10 2 17 24 11 18 16 25 30 3 13 20 27 1 19 15 9 8 21 14 4 5 23 22 6 ;2.04705e+06;34
SL-UT CR-OX PR-50;2;19 6 26 1 5 18 10 27 30 28 7 13 9 23 15 25 29 3 2 21 12 14 11 17 22 8 20 16 24 4 ;2.13672e+06;5 27 10 7 25 29 11 21 20 14 19 16 2 4 15 9 3 18 22 13 17 23 6 12 24 8 26 1 30 28 ;2.04236e+06;20
SL-UT CR-OX PR-50;3;26 18 21 5 30 16 29 22 6 7 1 25 27 4 20 17 14 12 3 11 28 10 24 2 15 13 19 23 9 8 ;2.14005e+06;28 16 26 27 25 9 20 12 5 19 14 8 24 3 11 4 17 29 22 10 7 21 23 15 13 18 2 1 30 6 ;2.03688e+06;24
SL-UT CR-PMX PR-16;1;24 26 6 17 14 16 13 27 20 2 22 11 1 29 23 9 3 10 30 28 25 19 12 18 5 15 4 8 21 7 ;2.13909e+06;2 6 3 1 22 12 7 8 20 30 25 13 9 23 11 15 17 18 24 26 10 21 4 27 14 28 16 29 19 5 ;2.02711e+06;142
SL-UT CR-PMX PR-16;2;9 4 23 27 17 14 21 22 6 24 15 2 18 1 25 13 10 19 20 29 8 12 3 16 26 7 30 5 28 11 ;2.12541e+06;15 8 18 30 19 24 26 20 23 7 17 9 16 14 6 11 3 10 12 22 25 4 27 2 28 29 13 1 5 21 ;2.0362e+06;122
SL-UT CR-PMX PR-16;3;10 19 4 3 18 12 23 25 22 26 24 17 9 16 8 11 14 29 28 5 1 30 20 7 2 6 13 27 15 21 ;2.15089e+06;27 13 30 9 17 16 4 15 11 25 23 10 22 24 1 3 28 20 8 26 19 5 7 6 21 12 2 29 14 18 ;2.02248e+06;142
SL-UT CR-PMX PR-25;1;20 10 22 3 29 19 27 8 26 5 16 15 23 18 2 28 12 17 11 24 7 21 14 9 1 4 13 6 25 30 ;2.12593e+06;26 16 10 15 5 24 18 27 20 3 22 29 8 11 7 9 6 17 23 19 2 21 14 28 1 4 13 12 30 25 ;2.04555e+06;23
SL-UT CR-PMX PR-25;2;18 10 7 8 6 5 17 22 24 29 21 16 25 15 1 4 26 14 12 20 13 28 11 30 27 9 19 23 3 2 ;2.11683e+06;16 26 29 22 25 5 11 12 17 2 3 28 6 13 24 9 15 10 20 27 1 21 4 19 8 14 23 18 30 7 ;1.99291e+06;45
SL-UT CR-PMX PR-25;3;23 29 18 9 6 19 4 16 3 15 27 17 11 30 22 7 8 25 14 10 21 5 1 20 2 13 24 12 28 26 ;2.1166e+06;16 15 17 13 30 18 6 5 19 12 27 14 2 9 4 22 3 8 26 11 20 1 21 10 29 25 28 7 23 24 ;1.97811e+06;51
SL-UT CR-PMX PR-50;1;30 24 17 19 8 2 25 5 13 21 29 26 14 28 11 16 1 4 27 23 18 20 3 10 9 6 22 12 7 15 ;2.14609e+06;27 15 30 17 8 14 2 21 26 25 23 10 28 16 12 5 11 29 1 18 13 7 3 19 9 20 22 24 6 4 ;1.9966e+06;34
SL-UT CR-PMX PR-50;2;24 18 3 23 7 2 6 25 4 9 19 5 26 20 11 28 16 22 10 1 13 15 8 12 17 27 21 14 30 29 ;2.12834e+06;17 21 30 2 25 9 18 29 10 19 27 15 3 7 8 11 13 5 1 22 12 4 20 24 6 23 26 28 16 14 ;2.02357e+06;30
SL-UT CR-PMX PR-50;3;22 19 15 12 3 11 9 26 18 25 2 7 1 10 14 30 4 24 17 21 8 28 23 29 27 16 5 13 20 6 ;2.12647e+06;19 9 17 4 24 7 22 15 18 27 21 13 16 26 5 30 20 29 14 3 8 10 23 6 12 1 25 2 28 11 ;1.98291e+06;28
SL-UT-C CR-OX PR-16;1;18 25 29 3 7 12 19 17 26 30 10 16 2 28 9 14 13 20 22 5 4 21 8 11 27 23 1 15 6 24 ;2.12592e+06;29 20 18 2 11 9 15 8 28 4 14 22 21 26 3 16 27 12 24 10 30 17 6 1 25 13 5 19 7 23 ;2.02695e+06;88
SL-UT-C CR-OX PR-16;2;25 18 21 23 24 11 22 8 28 12 7 14 26 20 30 16 9 2 13 15 27 6 1 29 10 17 19 5 4 3 ;2.09356e+06;3 28 30 22 16 17 7 11 2 25 18 19 9 26 23 13 20 24 1 4 14 10 8 15 6 21 5 29 12 27 ;1.98811e+06;69
SL-UT-C CR-OX PR-16;3;27 13 26 5 17 25 10 7 4 11 12 29 21 20 23 2 18 14 8 22 9 24 6 30 19 3 28 15 1 16 ;2.11218e+06;9 10 30 29 8 17 11 27 21 1 20 7 15 26 14 5 12 18 28 25 24 19 22 23 6 2 13 3 4 16 ;2.00916e+06;70
SL-UT-C CR-OX PR-25;1;24 10 4 7 3 19 2 5 15 13 28 30 25 12 23 16 8 22 11 29 21 20 6 26 14 27 9 17 18 1 ;2.09875e+06;23 10 6 4 22 26 5 16 17 7 8 11 3 25 13 27 21 1 29 12 20 14 24 2 15 28 18 9 19 30 ;2.03837e+06;44
SL-UT-C CR-OX PR-25;2;8 18 11 19 21 25 22 16 28 13 2 10 14 9 7 4 20 24 23 12 3 29 1 27 6 17 30 5 26 15 ;2.10454e+06;5 27 17 21 13 8 18 16 26 28 2 10 14 9 7 4 20 24 23 12 3 29 1 11 6 22 30 19 25 15 ;2.00937e+06;36
SL-UT-C CR-OX PR-25;3;14 16 30 8 24 1 9 11 5 3 26 17 28 23 19 6 22 25 7 13 10 20 18 21 2 15 12 29 4 27 ;2.12696e+06;8 9 23 3 15 6 4 2 26 7 27 11 17 5 18 22 28 29 1 30 14 16 21 25 20 10 12 24 19 13 ;2.05769e+06;37
SL-UT-C CR-OX PR-50;1;5 4 13 8 3 12 16 23 30 25 7 9 11 21 1 19 28 22 20 2 14 26 29 15 17 27 6 10 18 24 ;2.12683e+06;8 22 26 14 25 7 24 16 5 2 18 19 20 28 17 13 1 9 12 23 29 27 15 6 10 21 11 3 30 4 ;2.0313e+06;26
SL-UT-C CR-OX PR-50;2;4 29 5 21 18 6 14 20 2 15 1 7 28 24 25 8 19 13 10 16 3 26 27 22 30 9 12 11 23 17 ;2.10897e+06;6 2 28 4 25 19 10 26 27 3 8 7 16 13 9 30 23 14 15 22 12 29 20 1 24 18 21 11 5 17 ;2.0321e+06;29
SL-UT-C CR-OX PR-50;3;23 5 27 25 16 21 4 30 13 12 26 15 22 8 19 29 14 7 3 6 20 1 17 11 9 18 28 2 24 10 ;2.12457e+06;21 10 6 9 16 3 18 11 14 28 29 7 13 8 5 25 24 20 22 1 26 12 15 27 17 4 19 2 30 23 ;2.02704e+06;32
SL-UT-C CR-PMX PR-16;1;23 10 1 12 13 6 19 9 3 2 17 20 22 8 24 25 15 16 28 30 11 5 7 27 29 26 14 21 4 18 ;2.13084e+06;17 8 19 25 6 15 16 22 30 5 21 10 24 18 23 7 20 12 11 2 9 26 1 3 28 13 27 29 4 14 ;2.04297e+06;48
SL-UT-C CR-PMX PR-16;2;6 26 10 9 30 16 5 27 7 28 11 23 29 14 13 25 22 20 24 17 2 3 4 8 19 12 1 21 18 15 ;2.10733e+06;26 24 6 17 14 4 28 13 30 15 16 5 1 3 23 2 29 8 9 10 11 27 12 20 18 22 25 21 19 7 ;2.02408e+06;43
SL-UT-C CR-PMX PR-16;3;11 28 3 6 5 2 19 12 30 17 29 22 14 18 27 16 8 7 15 26 9 23 4 24 10 20 21 13 25 1 ;2.10361e+06;13 9 8 27 25 2 19 12 30 16 18 22 24 29 11 17 28 21 10 14 20 23 7 6 15 26 4 1 5 3 ;2.00139e+06;44
SL-UT-C CR-PMX PR-25;1;8 17 3 16 18 5 29 28 4 6 30 13 12 23 2 27 26 24 10 11 9 21 7 1 20 19 15 14 22 25 ;2.12493e+06;2 21 4 11 6 7 27 28 16 18 12 24 17 20 19 25 15 29 3 23 13 8 5 9 1 26 30 10 22 14 ;2.00792e+06;36
SL-UT-C CR-PMX PR-25;2;24 25 20 28 21 5 1 30 29 10 13 27 14 17 12 16 11 6 15 7 3 26 22 23 4 9 8 18 19 2 ;2.14026e+06;14 24 7 2 6 16 29 4 15 13 10 11 3 18 20 17 25 30 21 28 1 26 27 8 9 5 23 22 12 19 ;2.02864e+06;35
SL-UT-C CR-PMX PR-25;3;11 12 9 1 16 13 4 22 3 15 25 24 20 5 14 2 21 29 19 8 18 10 26 6 27 17 28 30 7 23 ;2.10447e+06;27 14 11 28 16 19 15 3 29 18 7 22 5 25 24 30 8 4 12 21 23 1 13 20 2 10 17 6 9 26 ;2.01092e+06;33
SL-UT-C CR-PMX PR-50;1;5 20 9 16 19 7 30 28 17 11 25 3 18 24 2 26 8 15 21 1 27 13 12 14 23 4 29 10 6 22 ;2.09036e+06;16 20 5 19 30 23 8 18 12 4 10 13 3 17 14 11 25 6 28 24 21 29 1 27 9 26 2 7 22 15 ;1.99424e+06;26
SL-UT-C CR-PMX PR-50;2;13 19 24 15 25 5 17 7 3 8 18 22 23 1 16 10 2 26 12 28 27 9 4 30 21 20 29 11 6 14 ;2.11184e+06;3 8 1 26 23 19 16 17 5 22 29 24 10 21 30 15 13 14 20 11 18 7 9 2 12 6 25 27 4 28 ;2.02161e+06;22
SL-UT-C CR-PMX PR-50;3;14 4 22 30 12 20 23 13 28 8 9 24 2 19 21 27 15 6 16 25 26 5 11 10 1 17 7 3 29 18 ;2.12275e+06;18 1 12 24 30 22 4 20 23 6 28 17 26 19 15 25 29 14 3 27 2 7 9 11 10 16 8 13 5 21 ;1.98921e+06;23
SL-R CR-OX PR-16;1;11 27 6 18 2 15 28 5 25 13 12 20 29 17 14 30 8 22 10 7 4 19 23 3 21 16 1 26 24 9 ;2.11022e+06;8 10 25 21 29 28 4 19 15 11 2 1 6 18 3 22 12 13 23 24 7 30 9 20 17 16 5 26 14 27 ;2.06012e+06;259
SL-R CR-OX PR-16;2;2 15 17 9 19 10 21 27 22 5 20 18 3 7 6 24 25 30 26 1 16 4 29 13 12 28 14 8 23 11 ;2.10363e+06;5 14 6 25 1 17 16 19 30 15 23 11 13 3 22 24 20 7 21 8 29 10 4 27 9 26 12 18 28 2 ;2.08247e+06;257
SL-R CR-OX PR-16;3;17 27 7 14 28 24 25 23 29 9 11 1 16 5 26 12 2 15 18 30 6 4 21 20 19 10 8 13 22 3 ;2.14142e+06;14 23 19 10 7 29 25 9 4 2 17 27 6 21 16 18 12 20 15 22 26 28 11 1 24 5 30 3 8 13 ;2.0789e+06;193
SL-R CR-OX PR-25;1;18 3 7 27 1 16 4 22 14 25 10 15 6 21 24 8 26 29 28 5 12 11 13 23 17 2 30 20 9 19 ;2.12293e+06;3 27 11 10 21 6 23 15 26 20 4 14 12 24 17 29 9 7 1 5 30 2 25 28 16 8 13 19 22 18 ;2.08781e+06;146
