Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
SL-B CR-OX PR-16;1;14 13 15 22 9 16 8 29 30 5 10 2 6 23 17 21 3 1 11 20 19 4 18 25 26 7 28 27 12 24 ;2.12839e+06;17 7 28 5 11 25 1 19 26 21 3 6 18 14 4 12 16 10 29 8 23 9 15 24 27 22 13 20 2 30 ;2.0375e+06;257
SL-B CR-OX PR-16;2;19 9 11 22 20 21 15 24 25 8 1 30 2 13 6 29 7 17 18 4 28 16 5 14 3 10 12 26 23 27 ;2.13196e+06;26 7 29 9 30 4 6 13 23 19 20 25 14 16 27 5 10 11 8 1 15 28 24 18 12 3 2 17 22 21 ;2.03303e+06;190
SL-B CR-OX PR-16;3;26 12 4 22 16 5 15 8 6 13 11 7 2 10 23 30 3 24 21 20 9 14 19 28 27 29 18 17 25 1 ;2.0965e+06;8 10 12 7 19 11 4 14 9 5 15 24 3 27 30 21 1 17 6 18 2 23 28 29 22 20 16 13 25 26 ;2.04015e+06;253
SL-B CR-OX PR-16;4;6 16 13 2 8 29 19 5 21 12 10 18 25 1 3 24 4 15 20 14 11 22 9 27 28 26 17 23 7 30 ;2.13591e+06;19 10 11 28 22 4 3 9 17 30 18 5 27 23 12 6 21 2 8 26 25 20 24 14 1 29 15 13 7 16 ;2.06388e+06;182
SL-B CR-OX PR-16;5;30 1 22 10 3 5 9 15 8 2 6 7 25 4 12 26 16 19 18 28 27 13 23 24 17 20 14 21 29 11 ;2.12392e+06;29 9 13 19 12 2 24 18 16 28 15 30 26 17 25 14 4 20 10 27 1 8 11 7 21 6 3 23 5 22 ;2.01755e+06;273
SL-B CR-OX PR-25;1;22 27 7 23 25 18 13 4 2 16 12 26 17 19 1 11 30 21 5 3 24 9 10 6 20 8 28 15 14 29 ;2.10045e+06;30 10 29 3 16 27 4 26 19 15 20 14 21 24 9 8 13 17 2 23 6 12 1 11 28 18 5 22 25 7 ;2.00978e+06;357
SL-B CR-OX PR-25;2;17 9 13 12 29 24 3 16 30 23 10 22 19 20 14 7 25 28 18 1 27 15 21 5 6 4 8 11 2 26 ;2.12408e+06;5 7 1 15 30 27 13 19 8 28 11 12 6 29 20 10 17 16 9 21 22 4 18 3 2 14 23 26 25 24 ;2.05888e+06;156
SL-B CR-OX PR-25;3;20 18 23 7 2 21 13 25 12 5 10 4 17 27 15 9 3 29 24 11 22 28 26 6 8 19 14 16 1 30 ;2.12819e+06;7 13 11 9 24 20 15 18 22 19 6 21 3 27 25 29 17 10 8 14 4 16 28 12 1 23 30 26 5 2 ;2.01208e+06;288
SL-B CR-OX PR-25;4;13 14 15 16 8 5 22 21 3 28 23 18 11 19 27 6 24 29 9 26 7 30 20 17 2 25 12 1 10 4 ;2.15431e+06;2 26 12 20 4 16 18 15 22 21 3 7 13 30 11 25 24 29 1 6 17 19 23 27 10 5 8 9 28 14 ;2.01291e+06;236
SL-B CR-OX PR-25;5;26 20 28 21 23 3 11 9 29 18 12 16 19 14 2 13 22 1 25 8 15 27 17 4 10 6 7 5 30 24 ;2.15863e+06;19 13 16 21 30 28 9 8 10 4 23 2 22 11 25 7 1 27 24 12 14 3 18 17 15 20 5 6 26 29 ;2.04812e+06;227
