Configuration;Iteration;The initial way;Its distance;The best way after algorithm;Its distance
SL-B2 PR-33 GI-0.1;1;9 15 13 18 30 24 29 8 10 12 26 4 14 5 11 22 23 27 25 1 20 16 7 6 17 21 28 3 19 2 ;2.1684e+06;6 20 16 15 30 7 23 8 10 24 13 1 9 21 11 22 29 27 28 26 18 2 25 14 17 3 19 4 12 5 ;1.93952e+06
SL-B2 PR-33 GI-0.1;2;4 30 27 11 8 7 12 5 15 21 3 6 25 28 10 13 26 23 18 1 17 16 29 9 20 24 19 14 22 2 ;2.21157e+06;4 30 27 16 10 22 23 21 14 5 9 19 2 28 17 13 26 6 18 8 12 11 15 3 20 29 7 1 25 24 ;1.91975e+06
SL-B2 PR-33 GI-0.1;3;21 16 25 14 4 15 30 6 19 24 12 2 7 11 1 26 5 23 9 3 22 17 10 27 28 20 18 29 13 8 ;2.18419e+06;16 21 2 14 19 30 11 9 23 24 5 4 28 17 1 6 12 26 29 3 27 20 10 15 7 18 25 22 13 8 ;1.94592e+06
SL-B2 PR-33 GI-0.1;4;11 14 15 22 21 24 2 5 4 6 13 28 10 30 26 17 16 29 12 27 18 3 19 23 9 7 1 20 8 25 ;2.26411e+06;26 28 2 27 11 5 4 3 21 8 13 14 10 30 24 17 20 29 12 22 1 16 19 23 6 7 18 9 15 25 ;1.95604e+06
SL-B2 PR-33 GI-0.1;5;18 7 28 19 20 5 22 23 10 1 8 30 21 16 14 13 15 24 29 2 11 9 3 25 6 26 4 12 17 27 ;2.24793e+06;18 21 15 19 6 5 11 23 12 22 16 30 10 13 9 25 3 8 29 27 1 14 20 24 17 2 4 26 7 28 ;1.92709e+06
SL-B22 PR-33 GI-0.1;1;8 29 16 26 4 23 22 19 27 20 24 10 15 21 2 30 12 11 13 7 28 1 25 18 5 14 17 6 3 9 ;2.13695e+06;8 29 25 6 19 23 16 4 7 13 15 21 22 17 10 30 12 11 27 3 5 1 2 18 26 24 28 20 14 9 ;1.90067e+06
SL-B22 PR-33 GI-0.1;2;16 9 28 14 24 29 30 19 17 22 5 25 3 27 7 11 15 12 6 10 26 4 21 2 20 23 8 1 18 13 ;2.17537e+06;16 27 28 23 30 12 24 5 6 22 14 25 3 26 7 11 15 1 18 9 20 4 10 2 17 29 8 21 19 13 ;1.90738e+06
SL-B22 PR-33 GI-0.1;3;7 2 12 19 3 21 1 9 16 15 18 27 26 10 24 30 13 17 28 20 4 29 6 23 14 25 11 8 5 22 ;2.2181e+06;9 2 13 24 8 12 1 3 25 15 18 16 30 4 14 19 21 10 29 20 6 28 11 23 7 27 17 26 5 22 ;1.95642e+06
SL-B22 PR-33 GI-0.1;4;9 26 8 21 15 4 11 19 17 16 24 7 14 20 2 22 1 25 27 18 3 10 5 23 12 6 29 28 13 30 ;2.18989e+06;15 26 23 21 14 28 2 4 25 16 20 1 29 27 30 22 7 17 9 6 3 19 5 24 12 18 10 8 13 11 ;1.91814e+06
SL-B22 PR-33 GI-0.1;5;10 29 26 28 14 25 9 4 2 16 15 8 24 12 1 18 17 22 20 13 3 6 11 7 23 5 30 27 19 21 ;2.19117e+06;10 21 13 28 30 25 2 1 6 5 9 22 7 12 16 23 17 3 20 29 27 8 15 24 18 4 14 11 19 26 ;1.89956e+06
SL-B33 PR-33 GI-0.1;1;26 19 28 29 4 3 24 5 25 20 18 7 22 14 2 10 13 12 11 21 9 8 15 27 6 1 16 30 17 23 ;2.21826e+06;26 1 29 25 4 5 19 23 11 28 2 7 22 14 24 10 18 12 17 21 9 8 15 27 6 13 16 20 30 3 ;1.95547e+06
SL-B33 PR-33 GI-0.1;2;28 15 23 21 6 25 17 27 16 5 19 20 8 26 11 18 9 1 13 12 30 10 7 4 22 14 2 24 3 29 ;2.24686e+06;1 17 23 14 2 25 9 16 13 3 19 20 15 26 6 7 12 27 18 30 28 21 10 8 22 4 29 5 24 11 ;1.9218e+06
