Configuration,Iteration,The initial best way,Its distance,The best way after algorithm,Its distance,Last generation
SL-B CR-PMX PR-50,2,17 13 23 1 12 3 15 29 24 4 22 18 19 26 10 30 28 5 9 27 21 2 16 14 20 25 6 8 7 11 ,2143990,9 21 24 1 5 13 25 11 6 14 28 27 29 15 20 26 17 7 19 18 10 12 8 23 4 2 16 3 30 22 ,1944180,97
SL-UT-C CR-PMX PR-25,5,14 24 3 5 19 7 9 11 10 28 23 4 29 6 18 27 30 26 12 20 13 17 8 2 1 22 25 15 16 21 ,2098620,6 21 18 4 16 30 14 3 13 15 9 19 27 29 5 8 12 1 23 24 10 26 20 28 7 22 2 11 25 17 ,1955760,40
SL-UT CR-PMX PR-50,2,21 8 26 7 4 30 2 22 18 12 15 11 19 25 28 16 29 24 1 6 3 10 13 9 5 27 14 17 20 23 ,2118240,3 20 25 24 9 15 5 14 30 19 21 23 27 2 12 11 6 29 8 10 16 1 22 26 18 17 7 28 4 13 ,1956110,31
SL-UT CR-PMX PR-50,5,29 9 8 13 3 11 10 5 14 28 24 20 18 6 27 2 22 1 17 30 21 25 7 4 23 19 16 12 15 26 ,2127560,8 17 29 26 16 19 4 20 6 24 18 5 21 9 2 30 12 10 1 15 27 22 23 13 14 28 3 7 25 11 ,1957190,19
SL-UT CR-PMX PR-25,4,16 10 9 2 25 11 1 18 28 15 24 4 3 27 12 21 8 7 17 6 13 5 22 29 19 26 14 30 23 20 ,2103330,28 12 29 5 22 27 26 6 18 15 24 23 25 14 13 17 9 19 21 4 16 2 20 3 7 11 10 1 30 8 ,1970770,41
SL-UT CR-PMX PR-50,3,12 28 18 4 23 24 21 27 13 15 3 8 1 9 5 11 10 26 29 14 25 17 30 19 16 6 22 2 20 7 ,2132200,3 8 2 23 22 5 26 10 30 11 15 12 18 21 24 9 29 1 17 16 4 19 7 28 27 13 25 14 6 20 ,1971700,23
SL-UT CR-PMX PR-16,5,26 17 16 4 23 6 7 3 21 30 25 15 1 27 29 14 22 20 8 13 2 19 18 9 5 28 11 24 12 10 ,2119430,19 17 23 4 8 6 7 3 21 30 15 25 1 22 26 28 27 18 20 9 2 29 10 13 5 14 11 24 16 12 ,1972620,42
SL-B CR-PMX PR-25,4,4 2 17 16 23 18 25 26 14 11 15 21 3 28 12 8 7 20 6 1 30 29 27 22 19 9 10 24 5 13 ,2093890,10 9 30 6 4 2 15 21 7 5 1 14 27 16 12 23 20 29 26 24 22 25 8 11 28 3 19 18 13 17 ,1972910,69
SL-B CR-PMX PR-50,4,12 1 23 7 3 2 9 28 19 30 14 25 8 26 11 5 10 16 17 27 13 6 20 18 24 29 15 21 22 4 ,2137870,12 23 15 24 2 30 11 3 28 27 17 22 18 14 7 5 9 1 16 21 8 4 29 20 6 13 10 26 25 19 ,1975980,106
SL-B CR-PMX PR-50,3,20 22 7 18 16 4 5 29 27 13 10 30 25 14 28 11 9 23 26 17 19 2 21 3 24 6 15 8 12 1 ,2089720,18 2 30 4 14 26 23 5 27 28 17 16 9 1 7 3 22 20 29 6 15 8 10 12 11 19 25 21 13 24 ,1982190,110
